Age,Data,Variable,Author
-4136.4,0.72,redseaGeoB58362,arzetal06
-4142.7,0.87,redseaGeoB58362,arzetal06
-4149,0.84,redseaGeoB58362,arzetal06
-4155.3,0.77,redseaGeoB58362,arzetal06
-4161.6,0.42,redseaGeoB58362,arzetal06
-4167.9,0.09,redseaGeoB58362,arzetal06
-4174.3,0.28,redseaGeoB58362,arzetal06
-4180.6,-0.64,redseaGeoB58362,arzetal06
-4186.9,-0.07,redseaGeoB58362,arzetal06
-4193.2,-0.84,redseaGeoB58362,arzetal06
-4199.5,-0.67,redseaGeoB58362,arzetal06
-4205.8,-1.16,redseaGeoB58362,arzetal06
-4214.5,-0.95,redseaGeoB58362,arzetal06
-4225.6,-1.25,redseaGeoB58362,arzetal06
-4236.6,-1.1,redseaGeoB58362,arzetal06
-4247.7,-0.81,redseaGeoB58362,arzetal06
-4258.8,-0.96,redseaGeoB58362,arzetal06
-4269.8,-1.06,redseaGeoB58362,arzetal06
-4280.9,-0.86,redseaGeoB58362,arzetal06
-4291.9,-1,redseaGeoB58362,arzetal06
-4303,-1.27,redseaGeoB58362,arzetal06
-4314,-1.11,redseaGeoB58362,arzetal06
-4325.1,-1.11,redseaGeoB58362,arzetal06
-4336.1,-1.11,redseaGeoB58362,arzetal06
